country,onset,type,max_risk,threshold,detected
Poland,2015,backsliding,0.1754931900907851,0.04286683606175985,True
Poland,2015,backsliding,0.1754931900907851,0.04995967579521676,True
Poland,2015,backsliding,0.1754931900907851,0.05705251552867367,True
Poland,2015,backsliding,0.1754931900907851,0.06414535526213057,True
Poland,2015,backsliding,0.1754931900907851,0.07123819499558748,True
Poland,2015,backsliding,0.1754931900907851,0.07833103472904439,True
Poland,2015,backsliding,0.1754931900907851,0.0854238744625013,True
Poland,2015,backsliding,0.1754931900907851,0.0925167141959582,True
Poland,2015,backsliding,0.1754931900907851,0.0996095539294151,True
Poland,2015,backsliding,0.1754931900907851,0.10670239366287201,True
Poland,2015,backsliding,0.1754931900907851,0.11379523339632891,True
Poland,2015,backsliding,0.1754931900907851,0.12088807312978582,True
Poland,2015,backsliding,0.1754931900907851,0.12798091286324273,True
Poland,2015,backsliding,0.1754931900907851,0.13507375259669965,True
Poland,2015,backsliding,0.1754931900907851,0.14216659233015655,True
Poland,2015,backsliding,0.1754931900907851,0.14925943206361345,True
Venezuela,2005,backsliding,0.018231690338772567,0.01449547712793223,True
Venezuela,2005,backsliding,0.018231690338772567,0.021588316861389137,False
Venezuela,2005,backsliding,0.018231690338772567,0.028681156594846043,False
Venezuela,2005,backsliding,0.018231690338772567,0.03577399632830295,False
Venezuela,2005,backsliding,0.018231690338772567,0.04286683606175985,False
Venezuela,2005,backsliding,0.018231690338772567,0.04995967579521676,False
Venezuela,2005,backsliding,0.018231690338772567,0.05705251552867367,False
Venezuela,2005,backsliding,0.018231690338772567,0.06414535526213057,False
Venezuela,2005,backsliding,0.018231690338772567,0.07123819499558748,False
Venezuela,2005,backsliding,0.018231690338772567,0.07833103472904439,False
Venezuela,2005,backsliding,0.018231690338772567,0.0854238744625013,False
Venezuela,2005,backsliding,0.018231690338772567,0.0925167141959582,False
Venezuela,2005,backsliding,0.018231690338772567,0.0996095539294151,False
Venezuela,2005,backsliding,0.018231690338772567,0.10670239366287201,False
Venezuela,2005,backsliding,0.018231690338772567,0.11379523339632891,False
Venezuela,2005,backsliding,0.018231690338772567,0.12088807312978582,False
Venezuela,2005,backsliding,0.018231690338772567,0.12798091286324273,False
Venezuela,2005,backsliding,0.018231690338772567,0.13507375259669965,False
Venezuela,2005,backsliding,0.018231690338772567,0.14216659233015655,False
Venezuela,2005,backsliding,0.018231690338772567,0.14925943206361345,False
Tunisia,2021,backsliding,0.43495621763327924,0.01449547712793223,True
Tunisia,2021,backsliding,0.43495621763327924,0.021588316861389137,True
Tunisia,2021,backsliding,0.43495621763327924,0.028681156594846043,True
Tunisia,2021,backsliding,0.43495621763327924,0.03577399632830295,True
Tunisia,2021,backsliding,0.43495621763327924,0.04286683606175985,True
Tunisia,2021,backsliding,0.43495621763327924,0.04995967579521676,True
Tunisia,2021,backsliding,0.43495621763327924,0.05705251552867367,True
Tunisia,2021,backsliding,0.43495621763327924,0.06414535526213057,True
Tunisia,2021,backsliding,0.43495621763327924,0.07123819499558748,True
Tunisia,2021,backsliding,0.43495621763327924,0.07833103472904439,True
Tunisia,2021,backsliding,0.43495621763327924,0.0854238744625013,True
Tunisia,2021,backsliding,0.43495621763327924,0.0925167141959582,True
Tunisia,2021,backsliding,0.43495621763327924,0.0996095539294151,True
Tunisia,2021,backsliding,0.43495621763327924,0.10670239366287201,True
Tunisia,2021,backsliding,0.43495621763327924,0.11379523339632891,True
Tunisia,2021,backsliding,0.43495621763327924,0.12088807312978582,True
Tunisia,2021,backsliding,0.43495621763327924,0.12798091286324273,True
Tunisia,2021,backsliding,0.43495621763327924,0.13507375259669965,True
Tunisia,2021,backsliding,0.43495621763327924,0.14216659233015655,True
Tunisia,2021,backsliding,0.43495621763327924,0.14925943206361345,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.01449547712793223,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.021588316861389137,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.028681156594846043,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.03577399632830295,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.04286683606175985,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.04995967579521676,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.05705251552867367,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.06414535526213057,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.07123819499558748,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.07833103472904439,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.0854238744625013,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.0925167141959582,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.0996095539294151,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.10670239366287201,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.11379523339632891,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.12088807312978582,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.12798091286324273,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.13507375259669965,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.14216659233015655,True
Burma/Myanmar,2021,coup,0.4368167269879747,0.14925943206361345,True
Mali,2020,coup,0.37283467444166873,0.01449547712793223,True
Mali,2020,coup,0.37283467444166873,0.021588316861389137,True
Mali,2020,coup,0.37283467444166873,0.028681156594846043,True
Mali,2020,coup,0.37283467444166873,0.03577399632830295,True
Mali,2020,coup,0.37283467444166873,0.04286683606175985,True
Mali,2020,coup,0.37283467444166873,0.04995967579521676,True
Mali,2020,coup,0.37283467444166873,0.05705251552867367,True
Mali,2020,coup,0.37283467444166873,0.06414535526213057,True
Mali,2020,coup,0.37283467444166873,0.07123819499558748,True
Mali,2020,coup,0.37283467444166873,0.07833103472904439,True
Mali,2020,coup,0.37283467444166873,0.0854238744625013,True
Mali,2020,coup,0.37283467444166873,0.0925167141959582,True
Mali,2020,coup,0.37283467444166873,0.0996095539294151,True
Mali,2020,coup,0.37283467444166873,0.10670239366287201,True
Mali,2020,coup,0.37283467444166873,0.11379523339632891,True
Mali,2020,coup,0.37283467444166873,0.12088807312978582,True
Mali,2020,coup,0.37283467444166873,0.12798091286324273,True
Mali,2020,coup,0.37283467444166873,0.13507375259669965,True
Mali,2020,coup,0.37283467444166873,0.14216659233015655,True
Mali,2020,coup,0.37283467444166873,0.14925943206361345,True
Burkina Faso,2022,coup,0.31765686175587476,0.01449547712793223,True
Burkina Faso,2022,coup,0.31765686175587476,0.021588316861389137,True
Burkina Faso,2022,coup,0.31765686175587476,0.028681156594846043,True
Burkina Faso,2022,coup,0.31765686175587476,0.03577399632830295,True
Burkina Faso,2022,coup,0.31765686175587476,0.04286683606175985,True
Burkina Faso,2022,coup,0.31765686175587476,0.04995967579521676,True
Burkina Faso,2022,coup,0.31765686175587476,0.05705251552867367,True
Burkina Faso,2022,coup,0.31765686175587476,0.06414535526213057,True
Burkina Faso,2022,coup,0.31765686175587476,0.07123819499558748,True
Burkina Faso,2022,coup,0.31765686175587476,0.07833103472904439,True
Burkina Faso,2022,coup,0.31765686175587476,0.0854238744625013,True
Burkina Faso,2022,coup,0.31765686175587476,0.0925167141959582,True
Burkina Faso,2022,coup,0.31765686175587476,0.0996095539294151,True
Burkina Faso,2022,coup,0.31765686175587476,0.10670239366287201,True
Burkina Faso,2022,coup,0.31765686175587476,0.11379523339632891,True
Burkina Faso,2022,coup,0.31765686175587476,0.12088807312978582,True
Burkina Faso,2022,coup,0.31765686175587476,0.12798091286324273,True
Burkina Faso,2022,coup,0.31765686175587476,0.13507375259669965,True
Burkina Faso,2022,coup,0.31765686175587476,0.14216659233015655,True
Burkina Faso,2022,coup,0.31765686175587476,0.14925943206361345,True
Nicaragua,2007,backsliding,0.20573220297291983,0.01449547712793223,True
Nicaragua,2007,backsliding,0.20573220297291983,0.021588316861389137,True
Nicaragua,2007,backsliding,0.20573220297291983,0.028681156594846043,True
Nicaragua,2007,backsliding,0.20573220297291983,0.03577399632830295,True
Nicaragua,2007,backsliding,0.20573220297291983,0.04286683606175985,True
Nicaragua,2007,backsliding,0.20573220297291983,0.04995967579521676,True
Nicaragua,2007,backsliding,0.20573220297291983,0.05705251552867367,True
Nicaragua,2007,backsliding,0.20573220297291983,0.06414535526213057,True
