country_name,country_text_id,year,risk_score,csd_index,polyarchy_at_alert,polyarchy_change_5yr,fp_type,is_stable_democracy,region_code
Guinea,GIN,2016,0.03385392534854584,5.18241482494054,0.377,-0.119,near_miss,False,GI
Guyana,GUY,2021,0.05785317418123847,4.14080620656511,0.498,-0.014000000000000012,true_fp,False,GU
Guyana,GUY,2022,0.037929347094877414,3.9758253682878943,0.491,-0.007000000000000006,true_fp,False,GU
Hungary,HUN,2011,0.06744755833679923,4.652469377210415,0.778,-0.16500000000000004,near_miss,False,HU
Hungary,HUN,2012,0.05118042200820258,4.58131639888906,0.773,-0.21799999999999997,near_miss,False,HU
Hungary,HUN,2013,0.03112764091087164,4.396978277427844,0.738,-0.257,near_miss,False,HU
Iceland,ISL,2003,0.032820390144243886,1.4857763552807814,0.867,-0.0020000000000000018,stable_democracy_fp,True,IS
India,IND,2004,0.0330169864476434,1.3233765150473906,0.731,-0.04799999999999993,true_fp,False,IN
India,IND,2008,0.10312424209058015,3.545972478741176,0.721,-0.07099999999999995,near_miss,False,IN
India,IND,2018,0.041435432209639314,3.627576176245016,0.482,-0.10799999999999998,near_miss,False,IN
India,IND,2019,0.03519079273290113,3.5091861099870636,0.43,-0.055999999999999994,near_miss,False,IN
India,IND,2023,0.07535516399196178,3.8509071161278903,0.374,0.0,true_fp,False,IN
Italy,ITA,2014,0.035363309090839276,5.8015703295683725,0.865,-0.01100000000000001,stable_democracy_fp,True,IT
Italy,ITA,2022,0.05787007762088193,4.993446790568661,0.842,-0.09699999999999998,near_miss,True,IT
Ivory Coast,CIV,2011,0.05150253517820098,4.286738832584939,0.427,0.0,true_fp,False,CI
Ivory Coast,CIV,2015,0.03841970912411937,4.947511946348899,0.473,0.0,true_fp,False,CI
Ivory Coast,CIV,2020,0.04009448605485577,5.947088655502872,0.499,-0.10499999999999998,near_miss,False,CI
Ivory Coast,CIV,2022,0.034117646721808906,4.958797583338707,0.443,-0.04899999999999999,true_fp,False,CI
Jamaica,JAM,2020,0.033316734430255165,5.29893267206821,0.808,-0.010000000000000009,true_fp,False,JA
Japan,JPN,2020,0.06554410776384588,5.1351199821091615,0.831,-0.01200000000000001,stable_democracy_fp,True,JP
Japan,JPN,2021,0.23563490001389006,5.156426772057603,0.824,-0.0050000000000000044,stable_democracy_fp,True,JP
Japan,JPN,2023,0.05942291566405207,4.806243086102027,0.826,-0.007000000000000006,stable_democracy_fp,True,JP
Japan,JPN,2025,0.036088628597778775,5.0399433615955065,0.819,0.0,stable_democracy_fp,True,JP
Jordan,JOR,2024,0.09823603071673075,3.9078521343497803,0.274,0.0,true_fp,False,JO
Kyrgyzstan,KGZ,2011,0.0364044392897218,5.214543854119947,0.473,-0.02699999999999997,true_fp,False,KG
Kyrgyzstan,KGZ,2017,0.04829750516471078,4.444397376712769,0.449,-0.069,near_miss,False,KG
Kyrgyzstan,KGZ,2020,0.09503841878549874,4.532719022855123,0.385,-0.07200000000000001,near_miss,False,KG
Lebanon,LBN,2018,0.033512888566040996,3.2625396813647485,0.44,-0.07900000000000001,near_miss,False,LB
Lesotho,LSO,2023,0.04742453173402549,4.2186164587856725,0.667,-0.015000000000000013,true_fp,False,LS
Liberia,LBR,2011,0.03286177532496836,5.459036530265946,0.646,-0.03500000000000003,true_fp,False,LB
Liberia,LBR,2023,0.041160797724629127,4.406130777333173,0.624,-0.027000000000000024,true_fp,False,LB
Lithuania,LTU,2008,0.03389898508045417,1.9082410042384812,0.824,0.0,true_fp,False,LT
Lithuania,LTU,2024,0.04884117133190743,1.7573303846974948,0.798,-0.01200000000000001,true_fp,False,LT
Malaysia,MYS,2008,0.040404318871387145,3.6574347847934994,0.328,-0.007000000000000006,true_fp,False,MY
Malaysia,MYS,2010,0.05702889451260493,4.17234780126004,0.329,-0.008000000000000007,true_fp,False,MY
Malaysia,MYS,2017,0.052264082296154424,3.596900890840412,0.333,0.0,true_fp,False,MY
Malaysia,MYS,2018,0.06752069745792981,5.453245059510546,0.444,-0.019000000000000017,true_fp,False,MY
Malaysia,MYS,2019,0.0645709759355479,5.103756667888266,0.47,-0.044999999999999984,true_fp,False,MY
Malaysia,MYS,2020,0.09009303319345523,5.088208857954378,0.425,0.0,true_fp,False,MY
Malaysia,MYS,2021,0.1952168477907394,5.0910203708977475,0.432,0.0,true_fp,False,MY
Malaysia,MYS,2022,0.2150765771162063,5.033664073380941,0.459,0.0,true_fp,False,MY
Malaysia,MYS,2023,0.09625749146084295,5.0092656078448785,0.508,-0.0040000000000000036,true_fp,False,MY
Malaysia,MYS,2024,0.05144753004627134,4.957273580591886,0.513,-0.009000000000000008,true_fp,False,MY
Malaysia,MYS,2025,0.0474738188035477,5.092482197361403,0.504,0.0,true_fp,False,MY
Maldives,MDV,2023,0.04323775821909295,3.6931441654761192,0.596,-0.039999999999999925,true_fp,False,MD
Mauritius,MUS,2023,0.11367484187401163,4.107552568485675,0.47,0.0,true_fp,False,MU
Moldova,MDA,2013,0.050919678177968886,5.093735685968688,0.638,-0.135,near_miss,False,MD
Moldova,MDA,2025,0.06212031438592408,4.535341737991355,0.553,0.0,true_fp,False,MD
Mongolia,MNG,2009,0.05745211384249444,3.5319531307070378,0.662,0.0,true_fp,False,MN
Mongolia,MNG,2021,0.0340012486668782,4.530317235650646,0.609,-0.11099999999999999,near_miss,False,MN
Namibia,NAM,2008,0.049096166337745335,4.5927918009675315,0.662,-0.025000000000000022,true_fp,False,NA
Namibia,NAM,2009,0.0655054265103443,4.015070768705576,0.655,-0.018000000000000016,true_fp,False,NA
Namibia,NAM,2010,0.035902659903334785,3.57407044760721,0.637,0.0,true_fp,False,NA
Namibia,NAM,2023,0.042064896126619476,4.328307700125711,0.622,0.0,true_fp,False,NA
Namibia,NAM,2024,0.06091533087875853,4.478109363586701,0.624,0.0,true_fp,False,NA
Nepal,NPL,2008,0.04810537039641112,3.617590317055604,0.478,-0.19799999999999995,near_miss,False,NP
Nepal,NPL,2011,0.031275124646476166,3.097486844526234,0.556,-0.276,near_miss,False,NP
Nepal,NPL,2012,0.07280132136651432,2.992347120659132,0.39,-0.10999999999999999,near_miss,False,NP
Netherlands,NLD,2017,0.03542105466620256,4.336312215465013,0.878,-0.026000000000000023,stable_democracy_fp,True,NL
Netherlands,NLD,2021,0.03297973274985626,3.766641519277458,0.864,-0.041000000000000036,stable_democracy_fp,True,NL
Netherlands,NLD,2022,0.035267525770922306,3.7507073188445696,0.852,-0.029000000000000026,stable_democracy_fp,True,NL
Nicaragua,NIC,2000,0.07093858911994211,2.0586373616578033,0.586,0.0,true_fp,False,NI
Nicaragua,NIC,2001,0.06624241886602998,1.1581319158058814,0.588,-0.025000000000000022,true_fp,False,NI
Nicaragua,NIC,2010,0.049226302528204854,4.617416419895746,0.436,-0.118,near_miss,False,NI
Nicaragua,NIC,2011,0.030830652935485384,4.285551976437846,0.425,-0.12,near_miss,False,NI
Niger,NER,2008,0.03703801440818946,3.618898941679859,0.576,-0.31099999999999994,near_miss,False,NE
Niger,NER,2009,0.0729190756050751,3.44447880690493,0.421,-0.15599999999999997,near_miss,False,NE
Niger,NER,2010,0.03490613308037388,6.156626608063595,0.265,0.0,true_fp,False,NE
Niger,NER,2020,0.06958265912967652,4.1483585942523185,0.544,-0.31700000000000006,near_miss,False,NE
North Macedonia,MKD,2011,0.047761278272525784,3.8845853393744725,0.478,-0.03799999999999998,true_fp,False,MK
North Macedonia,MKD,2023,0.03358677560270825,4.175967368107171,0.562,-0.0050000000000000044,true_fp,False,MK
North Macedonia,MKD,2024,0.041397043289991595,4.311380325720417,0.557,0.0,true_fp,False,MK
Norway,NOR,2021,0.1507025970727763,3.526661240705998,0.892,-0.0030000000000000027,stable_democracy_fp,True,NO
Norway,NOR,2025,0.05265210944556083,4.753419121530305,0.89,0.0,stable_democracy_fp,True,NO
Papua New Guinea,PNG,2012,0.06091666290842751,4.507808518476416,0.46,-0.016000000000000014,true_fp,False,PN
Papua New Guinea,PNG,2021,0.030757921819259407,4.411848923244351,0.455,0.0,true_fp,False,PN
Paraguay,PRY,2002,0.04061612104013705,1.4541860567874771,0.54,0.0,true_fp,False,PR
Paraguay,PRY,2003,0.0396630442464879,1.0813272097651427,0.565,0.0,true_fp,False,PR
Paraguay,PRY,2005,0.030654302271957642,1.5265172039602661,0.595,0.0,true_fp,False,PR
