country_text_id,year,nscm_resid_full_0,nscm_resid_domestic_0,nscm_resid_full_1,nscm_resid_domestic_1,nscm_resid_full_2,nscm_resid_domestic_2,nscm_resid_full_3,nscm_resid_domestic_3,nscm_resid_full_4,nscm_resid_domestic_4
MDV,1990,-6.394757e-06,-4.3436185e-06,-0.0013038246,-0.002054222,-0.0029350065,-0.012525135,-0.5973409,-0.22119056,0.6015861,0.23577428
MEX,1990,-0.00045521028,-0.0014621557,-0.004403441,-0.0046403552,0.2771017,0.15260148,-0.24434967,-0.068434015,-0.02789335,-0.07806494
MKD,1990,-0.00054409425,-0.009452258,-0.024516623,-0.05685565,-0.33459458,-0.41137284,-0.42404005,-0.28257212,-0.2163047,-0.23974712
MLI,1990,-5.2200005e-05,-8.004766e-05,-0.0017620586,-0.0009719139,-0.13011786,-0.36861297,0.31274617,0.64592767,-0.18081403,-0.27626273
MMR,1990,-2.016106e-06,-2.2568524e-07,-0.0009992502,-0.00047110225,-0.0001302615,-0.00022511798,0.458179,0.58854496,-0.4570475,-0.58784854
MNG,1990,-0.0006122494,-0.009663079,-0.009252943,-0.027897874,-0.04091498,-0.03205688,0.06660056,0.15824717,-0.015820418,-0.08862936
MOZ,1990,-1.1377881e-05,-1.6736454e-05,-0.002294081,-0.0033336913,-0.0022151934,-0.0045377454,0.18271756,0.30652928,-0.1781969,-0.29864115
MUS,1990,-0.8138644,-0.57910776,0.98046124,0.9857817,-0.15970106,-0.39704412,-0.0065932963,-0.0066934386,-0.0003023989,-0.002936347
MWI,1990,-4.6351943e-06,-2.7117958e-06,-0.00089955435,-0.0012747898,-0.0004942975,-0.00082614174,-0.41410127,-0.20912513,0.4154998,0.21122879
MYS,1990,-0.0008520123,-0.010291351,-0.002383194,-0.0032075658,0.25759625,0.3762915,-0.1723349,-0.13309354,-0.082026176,-0.22969912
NAM,1990,-0.0029245175,-0.017622843,-0.00887687,-0.0061012986,-0.85964674,-0.8347874,0.8835074,0.8990909,-0.012059298,-0.040579297
NER,1990,-0.00019211271,-0.0011228861,-0.008305319,-0.009918739,-0.08394604,-0.16056105,0.18685997,0.43679225,-0.0944165,-0.26518956
NGA,1990,-3.0409139e-05,-5.139756e-05,-0.005628563,-0.0038782582,-0.0055354256,-0.02752932,-0.50143254,-0.31100696,0.5126269,0.34246594
NIC,1990,-0.0020347396,-0.020144118,-0.01210764,-0.017933233,-0.60186243,-0.735109,0.6217494,0.80390537,-0.005744646,-0.030719062
NLD,1990,0.09777731,0.08873272,-0.08493086,-0.06759641,-0.007087084,-0.016444419,-0.0055797608,-0.0026605518,-0.00017959373,-0.0020314106
NOR,1990,0.0014764667,0.014798045,-0.00071702665,-0.008566479,-0.0004817778,-0.0054652,-0.00027227844,-0.0004315881,-5.298201e-06,-0.0003347871
NPL,1990,-0.00019960957,-0.0017300134,-0.0019453374,-0.0011261632,-0.36866772,-0.44441602,0.393418,0.55042136,-0.022605317,-0.103149146
NZL,1990,-0.6669615,-0.73844266,0.6759847,0.75911635,-0.0039911647,-0.012593254,-0.004846089,-0.0038561025,-0.00018592182,-0.004224227
PAK,1990,-0.00028584848,-0.0027435257,-0.003907967,-0.0023362113,0.517506,0.3615095,-0.48067382,-0.2546152,-0.032638337,-0.101814605
PHL,1990,-0.0009958318,-0.009758796,-0.055268683,-0.12566997,0.6053709,0.45182896,-0.5338535,-0.2629858,-0.015252799,-0.053414468
PNG,1990,-0.0014096868,-0.027202467,-0.003226905,-0.0014936799,0.16330391,0.11243546,-0.15467529,-0.074530356,-0.0039920523,-0.009209053
POL,1990,-0.6513719,-0.827315,-0.050655123,-0.02660011,-0.14194837,-0.12698077,0.8448209,0.983872,-0.0008454787,-0.0029761218
PRK,1990,-1.1040049e-06,-1.3730947e-07,-0.0001207237,-0.00017765195,-0.00042147443,-0.0005416448,-0.107998535,-0.06936336,0.10854179,0.070082724
PRT,1990,0.299886,0.21235651,-0.059870973,-0.0246326,-0.19591713,-0.18149307,-0.043104567,-0.0039908295,-0.0009933133,-0.0022400233
PRY,1990,-0.00030903082,-0.0008646012,-0.004055625,-0.0036044507,-0.51031566,-0.59965795,0.5266794,0.658822,-0.011999073,-0.054694965
ROU,1990,-0.0056630936,-0.12341053,-0.008088511,-0.034105808,-0.24450344,-0.50445557,0.26206285,0.68810725,-0.003807907,-0.02613538
RUS,1990,-0.00011998192,-0.0013535409,-0.0046854094,-0.018444978,-0.058684416,-0.08718369,0.20684677,0.49337894,-0.143357,-0.3863968
RWA,1990,-1.6063168e-05,-3.1292402e-05,-0.0019481495,-0.0030166626,-0.011770005,-0.028404118,0.4155169,0.6482607,-0.4017828,-0.6168087
SDN,1990,-1.6675524e-06,-5.9605966e-08,-0.00084839057,-0.00027540635,-4.177255e-05,-6.904764e-05,0.5896097,0.71141416,-0.5887179,-0.7110696
SEN,1990,-0.001302837,-0.011653908,-0.007482321,-0.011480571,0.19418246,0.11367792,-0.16602148,-0.054168284,-0.019375807,-0.03637513
SLE,1990,-1.5070086e-05,-1.45471795e-05,-0.0014317906,-0.0007405256,-0.011721799,-0.06229399,-0.68424743,-0.35136303,0.69741607,0.41441208
SOM,1990,-1.9520603e-06,-1.7704988e-07,-0.00045394167,-0.00016185439,-0.0004521344,-0.0012426048,0.5404563,0.6497214,-0.5395482,-0.64831686
SRB,1990,-4.78052e-05,-0.000103795006,-0.0081883855,-0.036323667,-0.035795152,-0.110393204,0.38509274,0.46564788,-0.34106135,-0.31882718
SWE,1990,0.027071834,0.043198824,-0.024733558,-0.03320833,-0.0014142451,-0.008351584,-0.0009012528,-0.0008789611,-2.273626e-05,-0.00075993827
