indicator,factor_1,factor_2,factor_3,factor_4
v2jupurge,0.6845669782784446,0.32300872424530763,-0.012796679828941268,-0.09864524785061939
v2jupoatck,0.23154030585121596,0.4771199847655886,-0.03552994171598059,-0.05808980388207219
v2jupack,0.5710167572831022,0.3336036337515109,-0.01567166344304892,0.13936243554773298
v2juaccnt,0.4626141262641052,0.5028736636935216,-0.11896587967253588,-0.02691634890169793
v2jucorrdc,0.4400273300846169,0.7033667015630334,-0.23426336487696092,-0.061820952066994825
v2juhcind,0.7789977632596414,0.3090723331321761,-0.1378227677691907,-0.03269646805507361
v2juncind,0.7704062025839503,0.2950267860782721,-0.1429996791784829,-0.030424969241960906
v2juhccomp,0.7509299348140996,0.3290857968878223,-0.1021467519143006,-0.049202572897129815
v2jucomp,0.7624110773814311,0.3872811786134333,-0.12682955245840616,-0.054604643295289815
v2jureview,0.6567259119363382,-0.14246766474532493,0.185908632052175,0.04634347843077537
v2cltort,0.8181928944752547,0.4005543892662802,0.03361902179456516,-0.027773968327537375
v2clkill,0.7437892805895044,0.43548140305728816,0.11883995561794926,0.011329982252085286
v2clslavem,0.6814353989086995,0.23840733927825447,0.17928159853512396,0.07023302464340403
v2clslavef,0.6494260240641365,0.26233275904799774,0.1707052192473229,0.0972606632767236
v2cltrnslw,0.7693807250993437,0.46071558278123914,-0.019864995569640848,-0.007020629707529944
v2clrspct,0.6730946471787639,0.5790686062475946,-0.046688126432777824,0.01033038877806048
v2clacjstm,0.7843897335373045,0.44774847125610084,-0.0006374689534585365,-0.003482144556465023
v2clacjstw,0.7746587683253059,0.4693433034964166,0.05131736840753605,0.015978909725026066
v2clacjust,0.560532087300857,0.5576454669395712,0.1300896753795518,0.004408125586460122
v2clsocgrp,0.5859039157755619,0.40870631946410546,0.1926062579892936,0.01938465992716034
v2clrgunev,0.3115143037235931,0.6461771465060976,0.04452576074314772,0.018438647125042437
v2clsnlpct,-0.48510580148830174,-0.4962708841792097,-0.07357406336047413,-0.102358000977743
v2cldiscm,0.9026099068869775,0.21090238623702284,0.10307034180894875,0.03808145639797286
v2cldiscw,0.892801402919692,0.22969882624301166,0.12077355996325186,0.04448584543156624
v2clacfree,0.8940842202721548,0.14726329090048546,0.01683159152772961,0.053277100409228284
v2clrelig,0.7831491147920182,0.05181802749721898,0.003992175684933694,0.06417431661423784
v2clfmove,0.885783195417005,0.10587286400676182,0.08347233582373302,0.014836506514182574
v2cldmovem,0.7598461382690141,0.06003175385189713,0.16305600807902912,0.03445366319145575
v2cldmovew,0.7359092949052922,0.18248114532254228,0.23755706317731878,0.09017305942628939
v2clstown,0.7840715408080521,-0.16143686983434405,-0.06708579140567403,0.08946135443025399
v2clprptym,0.7735318411064394,0.07778747390447943,0.08834347933337189,0.09536370757875914
v2clprptyw,0.7400898528975591,0.26523438924310416,0.186026989748404,0.06915304554705877
v2svdomaut,0.3315053570243958,0.2746047237344723,0.21730091830436649,0.12727088786944057
v2svinlaut,0.37982693695109065,0.24427787655089575,0.2284324471319948,0.07987280295720381
v2svstterr,0.1319311475738894,0.5321265658392726,0.26155927629365866,0.008976550421736382
v2stfisccap,0.5916240790672997,0.4439113765546088,0.06961112424943608,0.09848723331614424
v2strenadm,0.2566935140620537,0.39121357380386257,0.18070793918135925,-0.1467898472269614
v2stcritrecadm,0.5872122688377287,0.4419309067015157,-0.12426210938159551,-0.06969490926716962
v2svindep,0.06584119324031032,0.02834719896560233,0.1483666333332502,0.07913428770452981
v2strenarm,0.12575874124642467,-0.02326778463743489,0.024499071512143915,-0.1682476521621157
v2stcritapparm,0.606471943479488,0.5060851221689483,-0.04504727595546561,-0.07578186415198569
v2cseeorgs,0.9197831195137603,0.04200647406180802,0.039717990882119046,-0.0007542197766202789
v2csreprss,0.903542700676783,0.20621054891913132,0.03787226560807719,0.001254567635595014
v2cscnsult,0.8430195541370322,0.20911925085019525,-0.019624749506972582,0.030362790523527812
v2csprtcpt,0.863680953649099,0.004754362689776581,-0.0018008262131289227,-0.0035476744005790706
v2csgender,0.6893143673094179,0.2849546915469626,0.2922093218159783,0.08663073185180957
v2csantimv,-0.20473698173370722,-0.5383293554743444,-0.14242139310575036,-0.04770646221373441
v2csrlgrep,0.8570696266076403,0.04274437687886201,-0.034043450814573314,0.024016880813264113
v2csrlgcon,0.5998198473250594,-0.15431318208634742,-0.12523819605216574,-0.12401450527563761
v2mecenefm,0.9070964921393561,0.21596661158246236,-0.021206347035544814,0.01469198308360007
v2mecrit,0.9331952902462404,0.046234786031671915,-0.01530978920425162,-0.01703479084236525
v2merange,0.9256122367490414,0.0003407432736174387,0.029185051780437045,-0.0010948263918205796
v2mefemjrn,0.42360101003926093,0.25124475280464775,0.441774295999163,0.14400776514501681
v2meharjrn,0.8741561820422987,0.2822559012960987,0.011543769960725987,0.0581592483991512
v2meslfcen,0.9115431709066047,0.06294381042119873,0.008000661852159002,0.041930384768701603
v2mebias,0.9313213339801671,0.004275890896279555,0.022531745209638555,0.01573145696597709
v2mecorrpt,0.8629457797349646,0.23571419951762476,-0.08869917689535647,0.003854129096867921
v2pepwrses,0.4688142860029617,0.4948952018563055,0.06231390448948352,-0.0710833112147481
v2pepwrsoc,0.6574344117991061,0.3880343504265362,0.0693702664448615,0.04399849211071952
v2pepwrgen,0.607124668970733,0.40665974975572455,0.2655854421791385,0.03313448241731644
v2pepwrort,0.6024171771662671,0.4500386265843815,0.008908132045386284,0.06425793545400033
v2peedueq,0.3298406367533414,0.7706350834404863,0.17723849373955375,0.04120583116123695
v2pehealth,0.42431438996076026,0.7634875950870059,0.12513936180960344,0.004561005570706586
v2peapsecon,0.42160272001137133,0.7597297326267051,0.13059323713793652,0.046601879141920544
v2peasjsoecon,0.4694950894151647,0.6800738664989622,0.15988156470903503,0.08596173893032606
v2peasbecon,0.4650118910262607,0.6895521874621588,0.12300881787947235,0.06922332820449943
v2clgencl,0.536398769204906,0.4770984095059566,0.39641415647518174,0.11707810245909919
v2peapsgen,0.4622088823970878,0.6798184825871001,0.2069389130666469,0.09074216526033818
v2peasjgen,0.5282071940333333,0.5685635370284333,0.2852244958654603,0.09567494992062829
v2peasbgen,0.48569126622259207,0.6334073633243134,0.22636704891512816,0.112479932363826
v2pepwrgeo,0.5062974124956847,0.457827704379893,-0.043196851988925616,-0.062389923755146987
v2clgeocl,0.5125923397830919,0.5882502044286471,0.18940563475820854,0.028193333262259326
v2peapsgeo,0.46018028172269054,0.732541551895479,0.16879275292960827,0.07356550286222935
v2peasjgeo,0.4660430361370853,0.5683221944061944,0.1831064208700543,0.054546817203596554
